,codigo_postal,localidad,province
228,2313,COLONIA BERLIN,Santa Fé
229,2315,ESTACION SAGUIER,Not Found
230,2317,CASABLANCA,Santa Fé
231,2318,AURELIA,Santa Fé
232,2322,CABAÑA EL CISNE,Santa Fé
233,2324,COLONIA TACURALES,Santa Fé
234,2326,BEALISTOCK,Santa Fé
235,2340,CERES,Santa Fé
236,2341,COLONIA MONTEFIORE,Córdoba
237,2342,CAMPO EL MATACO,Santa Fé
238,2344,ACHAVAL RODRIGUEZ,Santa Fé
239,2345,CAMPO BOTTO,Santa Fé
240,2347,COLONIA MACKINLAY,Santa Fé
241,2349,COLONIA DOS ROSAS Y LA LEGUA,Córdoba
242,2352,AMBROSETTI,Santa Fé
243,2400,VILLANI,Córdoba
244,2401,CASTELAR,Santa Fé
245,2403,BAUER Y SIGEL,Santa Fé
246,2405,COLONIA CELLO,Santa Fé
247,2407,CAMPO CLUCELLAS,Santa Fé
248,2409,ESTRADA,Santa Fé
249,2415,DESVIO BOERO,Córdoba
250,2438,FRONTERA,Santa Fé
251,2440,BARRIO BELGRANO ORTIZ,Santa Fé
252,2441,CRISPI,Not Found
253,2443,COLONIA MARGARITA,Santa Fé
254,2445,CRISTOLIA,Santa Fé
255,2447,LOS SEMBRADOS,Santa Fé
256,2449,AVENA,Santa Fé
257,2451,COLONIA LA YERBA,Santa Fé
258,2453,CARLOS PELLEGRINI,Not Found
259,2454,CAÑADA ROSQUIN,Santa Fé
260,2456,ESMERALDA,Santa Fé
261,2500,CAÑADA DE GOMEZ,Santa Fé
262,2501,BERRETTA,Santa Fé
263,2503,VILLA ELOISA,Not Found
264,2505,CAMPO LA RIVIERE,Santa Fé
265,2506,CORREA,Santa Fé
266,2508,ARMSTRONG,Santa Fé
267,2512,CAMPO CHARO,Santa Fé
268,2520,LA CALIFORNIA,Santa Fé
269,2521,ITURRASPE,Santa Fé
270,2523,BOUQUET,Not Found
271,2527,COLONIA SAN FRANCISCO,Santa Fé
272,2529,PIAMONTE,Not Found
273,2531,LANDETA,Not Found
274,2533,LOS CARDOS,Not Found
275,2535,EL TREBOL,Santa Fé
276,2600,BOCA P 25,Santa Fé
277,2601,LA CHISPA,Santa Fé
278,2603,CHAPUY,Not Found
279,2605,OTTO BEMBERG,Santa Fé
280,2607,CAMPO QUIRNO,Santa Fé
281,2609,COLONIA MORGAN,Santa Fé
282,2611,ESTACION CHRISTOPHERSEN,Santa Fé
283,2613,LA MOROCHA,Santa Fé
284,2615,LA GAMA,Santa Fé
285,2617,SANCTI SPIRITU,Not Found
286,2618,CARMEN,Not Found
287,2622,MAGGIOLO,Not Found
288,2630,FIRMAT,Santa Fé
289,2631,CORA,Santa Fé
290,2633,CHOVET,Not Found
291,2635,CAÑADA DEL UCLE,Santa Fé
292,2637,COLONIA HANSEN,Santa Fé
293,2639,BERABEVU,Santa Fé
294,2643,CAFFERATA,Santa Fé
295,2700,BARRIO TROCHA,Buenos Aires
296,2701,12 DE AGOSTO,Buenos Aires
297,2703,CABO SAN FERMIN,Buenos Aires
298,2705,HARAS SAN JACINTO,Buenos Aires
299,2707,4 DE NOVIEMBRE,Buenos Aires
300,2709,LOS INDIOS,Buenos Aires
301,2711,ALMACEN PIATTI,Buenos Aires
302,2713,MANUEL OCAMPO,Not Found
303,2715,EL SOCORRO,Buenos Aires
